1 Nguyễn Văn Linh, Bình Hiên, Hải Châu, Đà Nẵng ,16.0608725,108.2227493
57 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.065126,108.210276
59 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.065192,108.210272
60 Hàm Nghi, Vĩnh Trung, Q. Thanh Khê, Đà Nẵng ,16.065663,108.210438
61 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.065258,108.210269
62 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0660067,108.2103268
63 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0650517,108.2105466
64 Hàm Nghi, Vĩnh Trung, Q. Thanh Khê, Đà Nẵng ,16.065827,108.21043
65 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0649669,108.2105414
66 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0645055,108.2102634
67 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.065455,108.21026
68 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0659948,108.2104226
69 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.065521,108.210257
70 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.062169,108.210659
71 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.065587,108.210254
73 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0647681,108.2106688
74 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0623406,108.2106406
75 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0659693,108.2103262
76 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0622008,108.2107099
77 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0659686,108.2103262
78 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.062052,108.210677
79 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.065851,108.210242
80 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.062023,108.210682
81 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.065916,108.210238
82 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0620188,108.2106755
83 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.065968,108.210232
84 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0620864,108.2106866
85 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0623398,108.2108553
86 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.062054,108.2107354
87 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0623297,108.2108934
88 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0620105,108.2106881
89 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0622153,108.2108953
90 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0621033,108.2107096
91 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.062229,108.2109873
92 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.061847,108.2107009
93 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0621152,108.2109262
92-94 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0618477,108.2106741
95 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0621688,108.2109816
96 Hàm Nghi, Thạc Gián, Hải Châu, Đà Nẵng ,16.0617872,108.2107015
97 Hàm Nghi, Vĩnh Trung, Q. Thanh Khê, Đà Nẵng ,16.0622304,108.2110136
98 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0617584,108.2106812
99 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0619699,108.2108634
100 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.061731,108.210727
101 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.061944,108.210883
102 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.061702,108.210732
103 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0620144,108.210899
104 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0616532,108.2107295
105 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0619358,108.2109295
106 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0616068,108.210746
107 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0619219,108.2110279
108 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0616152,108.2107507
109 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0618359,108.2109493
110 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0615652,108.2107537
111 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0618572,108.210961
112 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0614854,108.2107751
113 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0617773,108.2109669
114 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0614544,108.2107937
115 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.061724,108.210918
116 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0614105,108.2108084
117 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0617054,108.2109855
118 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0613432,108.2107683
119 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0616789,108.2109944
120 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0613272,108.2107916
121 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.061656,108.2109921
122 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.061309,108.2107982
123 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0616105,108.2109976
124 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0612494,108.2107991
125 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0615785,108.2109964
126 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.0613509,108.210787
127 Hàm Nghi, Thạc Gián, Hải Châu, Đà Nẵng ,16.0615253,108.2110086
128 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0611644,108.2108016
129 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0613255,108.2108903
130 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0611248,108.2108244
131 Hàm Nghi, Vĩnh Trung, Hải Châu, Đà Nẵng ,16.0614193,108.2110343
132 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0610818,108.2108303
133 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0613805,108.2110268
134 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0610414,108.2107963
135 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0613513,108.2110083
136 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0610049,108.210853
137 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0612905,108.2110622
138 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0609593,108.2108511
139 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0612908,108.2110386
140 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.0611469,108.210819
141 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0611451,108.2110297
142 Hàm Nghi, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.0608906,108.2107036
143 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0612538,108.2110557
144 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0608232,108.2108625
145 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0612335,108.2110506
146 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.06106,108.210833
147 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.061112,108.211069
148 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0608478,108.2111477
149 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.061183,108.2110625
150 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0606945,108.2107983
151 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0611574,108.2110663
152 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0604931,108.210831
153 Hàm Nghi, Vĩnh Trung, Q. Thanh Khê, Đà Nẵng ,16.061127,108.211012
154 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0604905,108.2108114
155 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0609508,108.2110977
156 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0604905,108.2108114
157 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0610718,108.2110789
158 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0604905,108.2108113
157-159 Hàm Nghi, Vĩnh Trung, Q. Thanh Khê, Đà Nẵng ,16.0610639,108.211021
160 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0604904,108.2108114
161 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0607176,108.2111669
162 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0604904,108.2108114
163 Hàm Nghi, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0605836,108.2110922
164 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0604904,108.2108114
165 Hàm Nghi, Thạc Gián, Hải Châu, Đà Nẵng ,16.0605981,108.2112041
166 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0604904,108.2108114
167 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0605981,108.211204
168 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0604904,108.2108114
169 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0605981,108.211204
170 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0604904,108.2108114
171 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0605981,108.211204
172 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0604904,108.2108114
173 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0605981,108.211204
174 Hàm Nghi, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0604904,108.2108114
1 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0594491,108.2113355
2 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0593714,108.2110587
3 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0595469,108.2112243
4 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0593515,108.2110781
5 Lê Đình Lý, Vĩnh Trung, Hải Châu, Đà Nẵng ,16.0589524,108.2113927
6 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0593048,108.2110845
7 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0588652,108.2113671
8 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0592281,108.2111062
9 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0588056,108.2114939
10 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0591974,108.2110993
11 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.058802,108.211445
12 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0591681,108.2111034
13 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0591292,108.2113654
14 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0591121,108.211246
15 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0587404,108.2114467
16 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0590584,108.2111288
17 Lê Đình Lý, Thạc Gián, Hải Châu, Đà Nẵng ,16.0591059,108.211369
18 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0589695,108.211137
19 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0585849,108.2114398
20 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0589715,108.2111208
21 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0585422,108.2114378
22 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.058905,108.2111431
23 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0590714,108.211459
24 Lê Đình Lý, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.059041,108.211302
25 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0584652,108.2114408
26 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0588408,108.2111515
27 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0583977,108.211442
28 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0583064,108.2112371
29 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0590457,108.2113783
30 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0590445,108.2113785
31 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0583838,108.2113985
32 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0582019,108.2112909
33 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.058359,108.211211
34 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0577601,108.2112983
35 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0582656,108.2114636
36 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0577546,108.2113012
37 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.058429,108.2112
38 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0577147,108.2113074
39 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0581876,108.2114793
40 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0576734,108.2113264
41 Lê Đình Lý, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.0581604,108.2116302
42 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.057599,108.2113277
43 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0580788,108.2114938
44 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.057581,108.2113483
45 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0580403,108.2115024
46 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.057526,108.2113425
47 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0579929,108.2115071
48 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0590227,108.2113819
49 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0579336,108.2114638
50 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0574676,108.2113426
51 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0590191,108.2113825
52 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0573724,108.2113341
53 Lê Đình Lý, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.057351,108.211371
54 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0573638,108.2113696
55 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0577646,108.2115526
56 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0573325,108.211387
57 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0577242,108.2115651
58 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0573298,108.2113739
59 Lê Đình Lý, Thạc Gián, Q. Thanh Khê, Đà Nẵng ,16.057458,108.211353
60 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0572793,108.2113812
61 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0576788,108.2115687
62 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.05781,108.211485
63 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0575989,108.2115795
64 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0570313,108.2113194
65 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.057596,108.2115448
66 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0569231,108.211467
67 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0575932,108.2112092
68 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0569849,108.2114911
69 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0574801,108.2115979
70 Lê Đình Lý, Vĩnh Trung, Q. Thanh Khê, Đà Nẵng ,16.055279,108.211946
71 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0574722,108.2115937
72 Lê Đình Lý, Vĩnh Trung, Q. Thanh Khê, Đà Nẵng ,16.055351,108.21193
73 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0573875,108.211591
74 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0564958,108.2115132
75 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.057394,108.2115964
76 Lê Đình Lý, Vĩnh Trung, Q. Thanh Khê, Đà Nẵng ,16.055495,108.211899
77 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.057358,108.2116058
78 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.055567,108.211883
79 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.057813,108.211294
80 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0561885,108.2115957
81 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0569739,108.2115683
82 Lê Đình Lý, Vĩnh Trung, Q. Thanh Khê, Đà Nẵng ,16.055711,108.211852
83 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0568361,108.2116457
84 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.055783,108.211837
85 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0589779,108.2113888
86 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0558673,108.211658
87 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0568526,108.2116796
88 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0557947,108.2116697
89 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.056808,108.2117152
90 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0556276,108.2116803
91 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0567619,108.2117028
92 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0556248,108.2117123
93 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0567227,108.2117144
94 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0557101,108.2118
95 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0566155,108.2117938
96 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0554766,108.211681
97 Lê Đình Lý, Vĩnh Trung, Q. Thanh Khê, Đà Nẵng ,16.055572,108.211691
98 Lê Đình Lý, Vĩnh Trung, Q. Thanh Khê, Đà Nẵng ,16.056288,108.211727
99 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.056429,108.2117708
100 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0555244,108.2117546
101 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0556899,108.211666
102 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0552583,108.2117461
103 Lê Đình Lý, Thạc Gián, Thanh Khê, Đà Nẵng ,16.0589561,108.2113922
104 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0551419,108.2116881
105 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0562975,108.2118398
106 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0549435,108.2118988
107 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.055868,108.211627
108 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.054899,108.2118156
109 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0561878,108.2118266
110 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.054846,108.2118551
111 Lê Đình Lý, Vĩnh Trung, Q. Thanh Khê, Đà Nẵng ,16.055986,108.211602
112 Lê Đình Lý, Bình Thuận, Hải Châu, Đà Nẵng ,16.05468,108.2118631
113 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.056045,108.211589
114 Lê Đình Lý, Bình Thuận, Hải Châu, Đà Nẵng ,16.0547234,108.2118102
115 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0560654,108.2117338
116 Lê Đình Lý, Vĩnh Trung, Hải Châu, Đà Nẵng ,16.0545876,108.2117495
117 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0559014,108.2119162
118 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.0541702,108.2116198
119 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0558279,108.2118444
120 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.0541765,108.2115475
121 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0558399,108.2119264
122 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.0541527,108.2115175
123 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.055738,108.2118936
124 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.0541389,108.2114741
125 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.055738,108.2118936
126 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.053665,108.2111734
127 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0555503,108.21196
128 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0536085,108.2111406
129 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.055392,108.2118988
130 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.053557,108.2111022
131 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0553702,108.2120608
132 Lê Đình Lý, Vĩnh Trung, Q. Thanh Khê, Đà Nẵng ,16.053894,108.211312
133 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0551076,108.2119646
134 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.05353,108.2111418
135 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0543826,108.2119478
136 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.053441,108.2110335
137 Lê Đình Lý, Bình Thuận, Hải Châu, Đà Nẵng ,16.0549796,108.2120222
138 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.0534092,108.2110219
139 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.054814,108.2119806
140 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0533674,108.2109772
141 Lê Đình Lý, Bình Thuận, Hải Châu, Đà Nẵng ,16.0547761,108.2121423
142 Lê Đình Lý, Vĩnh Trung, Q. Thanh Khê, Đà Nẵng ,16.053612,108.211124
143 Lê Đình Lý, Bình Thuận, Hải Châu, Đà Nẵng ,16.0547555,108.212141
144 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.053301,108.2109328
145 Lê Đình Lý, Bình Thuận, Hải Châu, Đà Nẵng ,16.0545797,108.2120588
146 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.0532526,108.2110029
147 Lê Đình Lý, Bình Thuận, Hải Châu, Đà Nẵng ,16.054552,108.2120509
148 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.0532447,108.2108993
149 Lê Đình Lý, Bình Thuận, Hải Châu, Đà Nẵng ,16.0545014,108.2120704
150 Lê Đình Lý, Hòa Thuận Đông, Thanh Khê, Đà Nẵng ,16.0530416,108.2108071
151-1 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.0540793,108.2118353
152 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0530804,108.2107641
153 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.0540844,108.2118143
154 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.0530979,108.2108366
155 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.0527736,108.2108551
156 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng ,16.0529775,108.2107025
157 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.0529167,108.2109827
158 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.0529426,108.2106907
159 Lê Đình Lý, Hòa Thuận Nam, Hải Châu, Đà Nẵng ,16.052074,108.2103523
160 Lê Đình Lý, Hòa Thuận Đông, Hải Châu, Đà Nẵng ,16.0529141,108.210677
